Price,equity
Ticker,
Date,
2023-03-07,14094.182481574982
2023-03-08,14212.253889487507
2023-03-09,14000.28351255998
2023-03-10,13805.97517699678
2023-03-13,13989.124679685623
2023-03-14,14186.222364015246
2023-03-15,14223.412722361856
2023-03-16,14489.30379899999
2023-03-17,14410.277522582888
2023-03-20,14633.402418958844
2023-03-21,14808.185313157042
2023-03-22,14673.38212607188
2023-03-23,14775.64626576888
2023-03-24,14898.368984639856
2023-03-27,14715.218044142372
2023-03-28,14656.647471281954
2023-03-29,14946.713862434894
2023-03-30,15094.534968969148
2023-03-31,15330.676346985552
2023-04-03,15448.74487928079
2023-04-04,15398.546666145583
2023-04-05,15224.691158521786
2023-04-06,15308.365870280055
2023-04-10,15063.850694729797
2023-04-11,14949.501773392678
2023-04-12,14884.422240807715
2023-04-13,15392.036268612395
2023-04-14,15359.498659032877
2023-04-17,15361.354869990331
2023-04-18,15476.639804753711
2023-04-19,15584.485517600855
2023-04-20,15493.37158392635
2023-04-21,15341.83230424262
2023-04-24,15370.65174067266
2023-04-25,15225.622858522118
2023-04-26,15224.691158521786
2023-04-27,15656.99852086748
2023-04-28,15775.072804397287
2023-05-01,15766.701882480718
2023-05-02,15669.081864698952
2023-05-03,15567.749425002281
2023-05-04,15413.41935874348
2023-05-05,16136.721936625165
2023-05-08,16130.215852517904
2023-05-09,15969.376826534559
2023-05-10,16135.791674433474
2023-05-11,16153.458029223733
2023-05-12,16065.945806198662
2023-05-15,16019.396751398093
2023-05-16,16019.396751398093
2023-05-17,16077.1175793508
2023-05-18,16296.826242392199
2023-05-19,16307.070628969928
2023-05-22,16217.695005944193
2023-05-23,15971.914558788547
2023-05-24,15997.980591668223
2023-05-25,16105.04701223114
2023-05-26,16332.206399657916
2023-05-30,16506.300583516368
2023-05-31,16501.643521323345
2023-06-01,16766.04359039922
2023-06-02,16846.106526847558
2023-06-05,16718.564273406962
2023-06-06,16684.11725395022
2023-06-07,16554.710162700314
2023-06-08,16810.72924519912
2023-06-09,16847.038226847886
2023-06-12,17110.505158114785
2023-06-13,17065.819503314884
2023-06-14,17125.40085565097
2023-06-15,17317.1858370466
2023-06-16,17215.706740868398
2023-06-20,17224.086289636823
2023-06-21,17126.332555651305
2023-06-22,17409.350808838764
2023-06-23,17379.55797595776
2023-06-26,17248.290360324474
2023-06-27,17508.03480501597
2023-06-28,17618.822274345646
2023-06-29,17650.474193801394
2023-06-30,18058.24678947166
2023-07-03,17917.66792506962
2023-07-05,17812.466342316013
2023-07-06,17857.153434924563
2023-07-07,17751.951852170954
2023-07-10,17559.236608583637
2023-07-11,17509.896767207996
2023-07-12,17667.23329133824
2023-07-13,17738.918116826797
2023-07-14,17752.88355217129
2023-07-17,18060.108751663687
2023-07-18,18035.900367550104
2023-07-19,18163.448372225273
2023-07-20,17980.04293959807
2023-07-21,17869.255470268392
2023-07-24,17944.664220140992
2023-07-25,18025.657418781022
2023-07-26,18107.585193038663
2023-07-27,17988.42392617513
2023-07-28,18231.407835521142
2023-07-31,18289.128663473846
2023-08-01,18210.92625140889
2023-08-02,17928.83682260448
2023-08-03,17797.57208258848
2023-08-04,16942.928560832745
2023-08-07,16650.601934493814
2023-08-08,16739.042981901934
2023-08-09,16589.157182157065
2023-08-10,16568.674160236173
2023-08-11,16574.267235855452
2023-08-14,16729.95315566412
2023-08-15,16542.573619949075
2023-08-16,16460.536572234603
2023-08-17,16460.536572234603
2023-08-18,16460.536572234603
2023-08-21,16460.536572234603
2023-08-22,16460.536572234603
2023-08-23,16460.536572234603
2023-08-24,16460.536572234603
2023-08-25,16460.536572234603
2023-08-28,16460.536572234603
2023-08-29,16460.536572234603
2023-08-30,16460.536572234603
2023-08-31,16460.536572234603
2023-09-01,16460.536572234603
2023-09-05,16460.536572234603
2023-09-06,16460.536572234603
2023-09-07,16460.536572234603
2023-09-08,16460.536572234603
2023-09-11,16460.536572234603
2023-09-12,16460.536572234603
2023-09-13,16460.536572234603
2023-09-14,16460.536572234603
2023-09-15,16460.536572234603
2023-09-18,16460.536572234603
2023-09-19,16460.536572234603
2023-09-20,16460.536572234603
2023-09-21,16460.536572234603
2023-09-22,16460.536572234603
2023-09-25,16460.536572234603
2023-09-26,16460.536572234603
2023-09-27,16460.536572234603
2023-09-28,16460.536572234603
2023-09-29,16460.536572234603
2023-10-02,16460.536572234603
2023-10-03,16460.536572234603
2023-10-04,16460.536572234603
2023-10-05,16460.536572234603
2023-10-06,16460.536572234603
2023-10-09,16460.536572234603
2023-10-10,16460.536572234603
2023-10-11,16460.536572234603
2023-10-12,16460.536572234603
2023-10-13,16460.536572234603
2023-10-16,16460.536572234603
2023-10-17,16460.536572234603
2023-10-18,16460.536572234603
2023-10-19,16460.536572234603
2023-10-20,16460.536572234603
2023-10-23,16460.536572234603
2023-10-24,16460.536572234603
2023-10-25,16460.536572234603
2023-10-26,16460.536572234603
2023-10-27,16460.536572234603
2023-10-30,16460.536572234603
2023-10-31,16460.536572234603
2023-11-01,16460.536572234603
2023-11-02,16460.536572234603
2023-11-03,16460.536572234603
2023-11-06,16460.536572234603
2023-11-07,16460.536572234603
2023-11-08,16460.536572234603
2023-11-09,16460.536572234603
2023-11-10,16460.536572234603
2023-11-13,16460.536572234603
2023-11-14,16460.536572234603
2023-11-15,16510.591219127615
2023-11-16,16659.884056101764
